dataset,algorithm,refill_level,subset_id,refill_ids_used,seed,total_time,makespan,route_time_std,active_vehicles,refill_visits,distinct_refill_stations_used,computation_time,feasible
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,35,3255.55,344.75,15.41,10,73,15,5.393,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,7,3344.24,353.08,13.52,10,73,9,4.429,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,14,3384.08,355.0,11.24,10,73,9,4.658,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,21,3438.37,370.75,16.7,10,72,9,5.215,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,28,3400.99,361.0,16.7,10,71,9,4.528,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,35,3320.4,352.0,18.64,10,73,9,4.941,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,7,3400.57,360.6,16.85,10,72,9,4.503,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,14,3253.64,352.5,16.69,10,72,9,4.437,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,21,3375.45,348.49,9.82,10,72,10,4.531,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,28,3278.62,400.0,33.58,10,71,9,4.602,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,35,3326.26,375.0,30.58,10,71,9,4.412,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,7,3276.5,349.29,15.22,10,73,8,4.415,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,14,3184.24,344.0,14.1,10,71,8,4.277,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,21,3149.28,332.38,13.55,10,71,8,4.347,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,28,3157.0,332.93,9.98,10,72,8,4.353,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,35,3307.54,345.1,13.47,10,72,8,4.325,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,7,3631.74,380.5,10.24,10,74,10,4.443,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,14,3501.71,366.5,13.55,10,71,10,4.408,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,21,3427.77,366.0,16.82,10,71,10,4.548,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,28,3474.19,374.5,14.79,10,72,10,4.407,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,35,3550.72,385.78,14.08,10,73,10,4.388,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,7,3720.05,406.0,21.12,10,73,10,4.706,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,14,3617.02,427.0,28.18,10,74,10,5.202,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,21,3668.45,406.0,29.76,10,73,10,5.035,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,28,3612.12,406.0,24.58,10,72,10,4.549,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,35,3604.49,406.0,39.67,10,73,10,4.427,True
