dataset,algorithm,refill_level,subset_id,refill_ids_used,seed,total_time,makespan,route_time_std,active_vehicles,refill_visits,distinct_refill_stations_used,computation_time,feasible
Dataset B,Hybrid,50%,5,57;58;60;62;63;65;66;69;72;73;74;76,21,1596.74,325.09,4.22,5,50,7,4.606,True
Dataset B,Hybrid,50%,5,57;58;60;62;63;65;66;69;72;73;74;76,28,1593.52,335.66,13.73,5,49,6,4.646,True
Dataset B,Hybrid,50%,5,57;58;60;62;63;65;66;69;72;73;74;76,35,1653.54,337.74,7.54,5,50,7,4.702,True
Dataset B,Hybrid,25%,1,52;54;64;68;71;72,7,1658.88,351.74,10.61,5,50,4,3.505,True
Dataset B,Hybrid,25%,1,52;54;64;68;71;72,14,1646.36,352.78,13.99,5,50,5,3.558,True
Dataset B,Hybrid,25%,1,52;54;64;68;71;72,21,1690.89,357.39,16.5,5,50,5,3.649,True
Dataset B,Hybrid,25%,1,52;54;64;68;71;72,28,1643.94,348.99,16.2,5,49,5,3.446,True
Dataset B,Hybrid,25%,1,52;54;64;68;71;72,35,1650.5,346.16,12.86,5,49,5,3.636,True
Dataset B,Hybrid,25%,2,52;53;62;66;67;68,7,1711.83,353.43,15.26,5,51,5,3.505,True
Dataset B,Hybrid,25%,2,52;53;62;66;67;68,14,1650.08,345.43,10.93,5,50,5,3.632,True
Dataset B,Hybrid,25%,2,52;53;62;66;67;68,21,1646.59,350.28,15.6,5,49,5,3.628,True
Dataset B,Hybrid,25%,2,52;53;62;66;67;68,28,1635.21,338.79,8.17,5,49,5,3.563,True
Dataset B,Hybrid,25%,2,52;53;62;66;67;68,35,1652.71,347.87,10.25,5,50,5,3.526,True
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,7,1614.22,330.66,8.18,5,49,5,3.809,True
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,14,1605.69,337.26,12.67,5,49,5,4.47,True
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,21,1683.58,357.43,15.07,5,52,5,4.479,True
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,28,1619.02,336.99,14.18,5,49,5,4.001,True
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,35,1645.21,345.09,14.65,5,50,5,4.654,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,7,1600.96,334.23,11.09,5,48,5,4.517,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,14,1645.91,342.88,10.52,5,50,6,4.313,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,21,1601.96,340.56,16.11,5,49,5,3.943,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,28,1594.38,340.45,13.22,5,49,6,3.854,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,35,1656.32,341.24,7.21,5,52,6,4.074,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,7,1581.28,331.9,10.77,5,50,6,4.187,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,14,1576.85,334.97,10.8,5,49,6,4.089,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,21,1620.27,339.27,10.21,5,50,6,3.889,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,28,1595.63,338.41,9.71,5,49,6,4.183,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,35,1616.77,340.43,13.01,5,49,6,4.035,True
