dataset,algorithm,refill_level,subset_id,refill_ids_used,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,distinct_refill_stations_used,computation_time,feasible
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,28,3214.7,3192.25,343.0,18.58,10,71,15,2.726,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,35,3163.1,3167.7,338.75,13.5,10,71,14,2.526,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,7,3403.4,3424.05,361.0,19.06,10,72,9,2.116,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,14,3430.8,3394.57,365.0,18.78,10,73,9,1.917,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,21,3403.5,3336.01,355.88,17.08,10,71,9,2.082,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,28,3416.6,3338.47,354.07,14.89,10,72,9,2.081,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,35,3447.1,3474.43,361.25,10.02,10,73,9,2.119,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,7,3341.2,3668.55,389.27,13.49,10,72,9,1.977,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,14,3394.5,3728.2,390.55,13.01,10,73,9,2.059,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,21,3370.9,3526.56,375.05,12.1,10,74,10,2.086,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,28,3349.6,3538.29,382.46,15.61,10,73,9,2.03,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,35,3319.2,3641.58,383.34,15.54,10,72,9,1.871,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,7,3304.3,3292.61,344.98,11.61,10,72,8,2.034,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,14,3298.4,3182.84,352.5,20.36,10,72,8,1.854,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,21,3286.1,3248.19,346.0,13.49,10,73,8,1.596,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,28,3307.6,3229.28,339.1,12.46,10,72,8,1.706,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,35,3297.1,3179.92,335.07,14.02,10,71,8,1.968,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,7,3535.7,3743.76,398.8,12.11,10,72,10,1.958,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,14,3506.8,3648.24,383.45,14.45,10,72,10,2.235,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,21,3508.9,3439.44,384.0,29.1,10,71,10,2.14,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,28,3529.0,3546.02,374.4,16.15,10,73,10,2.136,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,35,3536.4,3560.57,365.0,12.89,10,73,10,2.048,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,7,3603.7,3772.63,416.7,24.27,10,72,10,1.725,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,14,3651.4,3675.78,396.2,13.76,10,71,10,2.055,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,21,3622.1,3587.44,405.0,29.28,10,72,10,1.945,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,28,3634.8,3663.98,400.39,15.3,10,72,10,2.007,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,35,3603.3,3744.44,400.92,15.53,10,72,10,1.798,True
