dataset,refill_level,total_time_mean,fitness_mean,total_time_std,total_time_min,fitness_min,makespan_mean,makespan_std,route_std_mean,refill_visits_mean,distinct_refill_mean,feasible_rate,comp_time_mean
Dataset A,100%,2904.87,2915.76,21.39,2875.46,2885.5,310.91,4.04,12.28,73.0,23.0,1.0,4.05
Dataset A,25%,3503.43,3444.1,187.75,3179.92,3286.1,374.42,22.55,16.17,72.2,9.24,1.0,1.98
Dataset A,50%,3153.57,3164.42,85.7,3028.78,3077.0,340.34,11.78,16.5,72.36,13.84,1.0,2.68
Dataset B,100%,1595.88,1650.5,40.06,1551.43,1645.1,333.16,14.0,11.3,49.8,12.0,1.0,2.25
Dataset B,25%,1656.81,1705.17,45.28,1556.36,1654.0,346.97,11.04,13.3,49.76,5.24,1.0,1.28
Dataset B,50%,1648.22,1675.24,43.5,1551.21,1634.7,349.9,10.15,14.52,50.32,7.8,1.0,1.58
