run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2934.23,2933.95,314.0,11.46,10,73,9.856,True
2,2890.49,2784.52,296.0,12.6,10,73,10.011,True
3,2929.59,2986.27,312.34,11.23,10,72,10.499,True
4,2890.73,2838.44,301.5,10.07,10,73,9.185,True
5,2920.46,2889.3,309.25,11.56,10,71,9.171,True
6,2918.11,2853.78,304.5,8.4,10,73,9.349,True
7,2877.78,2840.64,308.0,13.1,10,72,10.072,True
8,2882.67,2826.24,297.0,14.34,10,72,9.908,True
9,2854.64,2848.3,307.75,16.55,10,73,9.456,True
10,2945.11,2882.68,304.5,11.45,10,73,8.54,True
11,2904.8,2854.88,303.0,13.36,10,73,9.848,True
12,2909.91,2802.16,325.0,22.07,10,72,8.91,True
13,2930.29,2885.43,302.0,9.25,10,72,10.026,True
14,2899.73,2847.33,305.0,11.96,10,71,10.149,True
15,2927.67,2833.38,310.0,18.43,10,71,9.665,True
16,2894.68,2783.17,302.0,13.21,10,72,10.12,True
17,2902.35,2929.18,307.95,10.98,10,74,10.335,True
18,2900.34,2765.7,324.0,28.36,10,71,9.227,True
19,2903.16,2812.59,302.0,16.32,10,72,9.44,True
20,2932.44,2931.42,313.0,9.75,10,73,9.546,True
