0,2.42,2.80667,2.42,2.43833,2.81833,2.28167,3.92667,2.01,1.49167,3.33,4.285,4.98667,3.05,4.27667,4.81,5.15833,4.385,5.91667,6.455,7.54,6.4,6.355,7.57833,4.58333,5.375,5.795,5.01667,5.01667,5.76,6.20667,5.42833,3.90833,4.395,4.98833,5.62667,7.78167,4.96333,3.86,4.13667,4.25,0.725,2.15833,4.40667,7.30667,6.81833,7.17167,6.81167,6.44667,6.66833,6.32167,5.17,3.94,3.11833,3.93,3.965,3.92833,4.55667,5.15,3.47333,4.68,8.45,6.60833,3.75167,5.33833,5.70333,4.37833,3.92667,4.05667,1.23,3.02333,4.465,7.465,7.245,4.535,6.13833,7.34
1.485,0,0.386667,0,0.0183333,0.398333,1.025,2.12833,1.29833,2.92667,1.6,0.941667,3.76833,1.83167,3.05833,3.64333,3.99167,3.16667,4.75,5.23667,6.32167,5.18167,5.13667,6.36,3.365,4.15667,4.57667,3.79833,3.79833,4.03,4.47667,3.69833,2.17833,2.665,3.25833,3.89667,6.015,3.23333,2.13,2.40667,2.52,2.21,3.64333,3.18833,6.14,5.65167,6.005,5.645,5.22833,5.50167,5.155,4.00333,2.345,1.38833,3.07167,2.37,2.71,3.39,3.98333,2.255,2.95,7.135,5.39,2.53333,4.12,4.485,2.64833,2.19667,2.46167,2.715,1.29333,3.29833,6.55833,6.07833,3.36833,5.23167,6.43333
1.09833,0.858333,0,0.858333,0.483333,0.0116667,1.275,1.70333,1.54833,3.17667,1.85,0.555,3.38167,1.445,2.67167,3.25667,3.605,2.78,4.36333,4.85,5.935,4.795,4.75,5.97333,3.615,4.40667,4.82667,4.04833,4.04833,4.28,4.72667,3.94833,2.42833,2.915,3.50833,4.14667,6.17667,3.48333,2.38,2.65667,2.77,1.82333,3.25667,2.80167,5.75333,5.265,5.61833,5.25833,4.84167,5.115,4.76833,3.61667,2.335,1.63833,3.32167,2.36,2.32333,3.00333,3.59667,1.86833,3.2,6.89667,5.64,2.78333,4.37,4.735,2.89833,2.44667,2.45167,2.32833,1.54333,2.91167,6.17167,5.69167,2.98167,4.845,6.04667
1.485,0,0.386667,0,0.0183333,0.398333,1.025,2.12833,1.29833,2.92667,1.6,0.941667,3.76833,1.83167,3.05833,3.64333,3.99167,3.16667,4.75,5.23667,6.32167,5.18167,5.13667,6.36,3.365,4.15667,4.57667,3.79833,3.79833,4.03,4.47667,3.69833,2.17833,2.665,3.25833,3.89667,6.015,3.23333,2.13,2.40667,2.52,2.21,3.64333,3.18833,6.14,5.65167,6.005,5.645,5.22833,5.50167,5.155,4.00333,2.345,1.38833,3.07167,2.37,2.71,3.39,3.98333,2.255,2.95,7.135,5.39,2.53333,4.12,4.485,2.64833,2.19667,2.46167,2.715,1.29333,3.29833,6.55833,6.07833,3.36833,5.23167,6.43333
1.46667,0.98,0.368333,0.98,0,0.38,1.39667,1.70667,1.67,3.29833,1.97167,0.923333,3.75,1.81333,3.04,3.625,3.97333,3.14833,4.73167,5.21833,6.30333,5.16333,5.11833,6.34167,3.73667,4.52833,4.94833,4.17,4.17,4.40167,4.84833,4.07,2.55,3.03667,3.63,4.26833,6.38667,3.605,2.50167,2.77833,2.89167,2.19167,3.625,3.17,6.12167,5.63333,5.98667,5.62667,5.21,5.48333,5.13667,3.985,1.92333,1.76,3.44333,1.94833,2.69167,3.37167,3.965,2.23667,3.32167,7.265,5.76167,2.905,4.49167,4.85667,3.02,2.56833,2.04,2.69667,1.665,3.28,6.54,6.06,3.35,5.21333,6.415
1.08667,0.87,0.0116667,0.87,0.495,0,1.28667,1.715,1.56,3.18833,1.86167,0.543333,3.37,1.43333,2.66,3.245,3.59333,2.76833,4.35167,4.83833,5.92333,4.78333,4.73833,5.96167,3.62667,4.41833,4.83833,4.06,4.06,4.29167,4.73833,3.96,2.44,2.92667,3.52,4.15833,6.165,3.495,2.39167,2.66833,2.78167,1.81167,3.245,2.79,5.74167,5.25333,5.60667,5.24667,4.83,5.10333,4.75667,3.605,2.32333,1.65,3.33333,2.34833,2.31167,2.99167,3.585,1.85667,3.21167,6.885,5.65167,2.795,4.38167,4.74667,2.91,2.45833,2.44,2.31667,1.555,2.9,6.16,5.68,2.97,4.83333,6.035
2.25,0.765,1.15167,0.765,0.783333,1.16333,0,2.20333,0.355,2.41,1.675,1.70667,3.26833,1.33167,2.55833,2.91167,3.26,2.66667,4.01833,4.73667,5.82167,4.68167,4.63667,5.86,2.84833,3.64,4.06,3.28167,3.28167,4.105,4.55167,3.77333,2.25333,2.74,3.33333,3.97167,6.09,3.30833,2.205,2.48167,2.595,2.975,4.40833,2.68833,5.40833,4.92,5.27333,4.91333,4.72833,4.77,4.42333,3.27167,2.22167,1.46333,2.195,2.24667,2.21,2.65833,3.25167,1.755,3.025,6.55167,4.87333,2.01667,3.60333,3.96833,2.72333,2.27167,2.33833,3.8,1.36833,2.56667,5.82667,5.34667,2.63667,4.5,5.70167
0.901667,1.47333,0.615,1.47333,1.09833,0.603333,1.66167,0,2.01667,2.39333,2.465,0.358333,3.185,1.24833,2.475,3.06,3.40833,2.58333,4.16667,4.65333,5.73833,4.59833,4.55333,5.77667,4.23,5.02167,5.44167,4.66333,4.66333,4.895,5.34167,4.56333,3.04333,3.53,4.12333,4.76167,5.98,4.09833,2.995,3.27167,3.385,1.62667,3.06,2.605,5.55667,5.06833,5.42167,5.06167,4.645,4.91833,4.57167,3.42,2.13833,2.25333,3.93667,2.16333,2.12667,2.80667,3.4,1.67167,3.815,6.7,6.255,3.39833,4.985,5.35,3.51333,3.06167,2.255,2.13167,2.15833,2.715,5.975,5.495,2.785,4.64833,5.85
1.895,0.41,0.796667,0.41,0.428333,0.808333,1.43667,1.84833,0,3.33833,1.32,1.35167,4.10833,2.24167,3.46833,4.05333,4.40167,3.57667,5.16,5.57667,6.66167,5.52167,5.47667,6.7,3.54833,4.34,4.76,3.98167,3.98167,3.75,4.19667,3.41833,1.89833,2.385,2.97833,3.61667,5.735,2.95333,1.85,2.12667,2.24,2.62,4.05333,3.52833,6.55,6.06167,6.415,6.055,5.56833,5.91167,5.565,4.41333,2.065,1.10833,2.79167,2.09,3.12,3.8,4.39333,2.665,2.67,6.855,5.57333,2.71667,4.30333,4.66833,2.36833,1.91667,2.18167,3.125,1.01333,3.70833,6.96833,6.48833,3.77833,5.64167,6.84333
2.41333,0.928333,1.315,0.928333,0.946667,1.32667,0.79,2.36667,0.518333,0,1.83833,1.87,3.72167,1.785,3.01167,3.365,3.71333,3.12,4.47167,5.19,6.275,5.135,5.09,6.31333,3.09167,3.88333,4.30333,3.525,3.525,4.26833,4.715,3.93667,2.41667,2.90333,3.49667,4.135,6.25333,3.47167,2.36833,2.645,2.75833,3.13833,4.57167,3.14167,5.86167,5.37333,5.72667,5.36667,5.18167,5.22333,4.87667,3.725,2.58333,1.62667,2.43833,2.60833,2.66333,3.11167,3.705,2.20833,3.18833,7.005,5.11667,2.26,3.84667,4.21167,2.88667,2.435,2.7,4.04333,1.53167,3.02,6.28,5.8,3.09,4.95333,6.155
