0,28,22,15,18,21,13,15,15,18,18,22,22,25,25,34,31,27,29,27,25,30,33,31,35,16,15,16,17,15,19,25,28,29,24,5,3,4,4,13,26,23,31,25,14,17,19,12,14,12,12,6,9,11,11,12,13,16,15,20,20,21,22,18,38,40,42,34,36,23,15,15,15,18,26,30,28,26,2,8,5,24,33,27,20,23,19,38
28,0,8,17,12,14,27,26,25,28,28,32,32,27,31,35,38,25,30,34,31,28,30,28,34,20,16,14,16,15,22,26,24,27,24,27,25,26,26,26,20,18,24,24,25,17,18,13,12,20,16,26,31,35,35,37,40,43,43,49,50,51,50,36,40,41,44,36,38,21,22,23,23,22,33,32,31,28,33,38,36,29,35,27,30,26,34,50
22,8,0,10,10,8,28,26,25,27,27,29,37,25,29,36,37,23,30,32,30,25,28,26,32,12,10,6,10,9,15,24,23,26,22,23,21,22,21,19,17,16,20,19,21,14,15,14,1,16,16,22,27,31,31,33,36,39,39,45,46,47,46,32,36,37,40,32,34,8,13,13,13,12,29,28,27,24,29,34,32,25,30,23,26,22,29,47
15,17,10,0,6,7,17,19,19,21,21,23,25,19,23,26,29,17,22,26,23,20,22,21,26,10,7,7,10,4,10,19,17,20,17,20,19,19,16,15,14,12,16,16,18,11,12,4,10,2,5,5,10,14,14,16,19,21,21,34,35,37,35,21,25,27,30,20,23,10,7,8,8,10,18,18,16,13,12,17,15,14,20,13,15,12,13,32
18,12,10,6,0,2,12,15,13,15,16,18,20,14,18,22,24,13,18,22,19,15,17,16,21,6,4,2,4,4,8,14,12,16,12,15,12,13,11,12,9,7,11,10,12,7,8,8,4,7,10,12,18,22,21,24,26,29,29,35,37,38,36,23,27,28,31,22,24,5,6,6,6,8,19,19,17,14,19,24,22,15,21,14,16,13,20,39
21,14,8,7,2,0,16,15,15,16,17,19,21,15,19,23,25,13,18,22,20,16,18,17,22,8,4,1,3,3,8,15,14,17,13,16,13,15,11,10,10,9,13,12,13,8,9,11,7,10,12,15,21,25,24,26,29,32,32,38,40,41,39,25,29,31,34,24,27,2,6,7,7,6,22,22,20,17,22,27,25,18,24,16,19,16,22,41
13,27,28,17,12,16,0,1,1,3,3,6,9,9,9,16,13,12,12,11,9,15,16,17,20,12,12,14,17,15,19,18,17,21,17,17,13,15,15,20,14,12,16,16,5,10,12,16,23,15,18,5,1,6,5,7,10,12,12,20,21,23,24,21,27,29,31,22,25,23,18,18,18,20,15,19,17,15,16,21,19,13,22,14,9,13,8,26
15,26,26,19,15,15,1,0,5,2,3,6,10,10,10,18,15,15,14,12,11,19,21,21,25,20,18,20,21,18,23,17,16,19,16,20,17,18,18,22,15,12,15,16,8,13,13,20,26,18,21,11,6,2,1,4,6,9,9,16,18,20,21,21,28,30,33,23,26,26,21,22,22,24,16,21,18,13,20,25,23,12,23,13,8,12,6,24
15,25,25,19,13,15,1,5,0,3,4,9,13,11,12,23,20,19,20,17,13,23,27,28,31,25,24,24,25,18,28,22,24,23,17,25,18,20,19,25,15,13,17,17,5,12,10,15,22,14,17,7,6,3,3,5,7,10,10,18,19,21,22,22,26,27,30,13,24,22,17,17,17,20,14,18,15,13,15,20,19,12,20,13,8,12,6,25
18,28,27,21,15,16,3,2,3,0,1,6,9,9,9,19,16,14,16,12,9,17,22,22,25,20,18,20,21,18,20,16,16,19,12,17,14,16,13,20,13,12,14,16,7,16,12,19,25,18,20,10,6,1,5,2,4,6,6,14,16,17,18,19,22,23,26,12,20,27,21,21,21,23,10,14,11,12,19,24,22,11,21,12,7,11,5,22
18,28,27,21,16,17,3,3,4,1,0,4,9,8,8,16,14,14,13,11,9,17,21,19,24,22,20,24,23,21,24,16,14,18,14,21,18,20,19,23,15,16,13,20,10,16,16,22,28,19,23,12,7,3,5,1,3,6,6,14,15,17,18,18,26,27,30,20,23,27,22,22,22,25,14,18,14,14,20,25,24,12,20,14,8,12,7,22
22,32,29,23,18,19,6,6,9,6,4,0,4,5,4,12,9,9,9,6,5,13,16,16,20,22,20,23,22,21,23,13,11,15,10,22,19,21,20,25,13,13,11,17,12,17,14,25,31,23,26,15,11,7,10,10,2,2,2,10,11,13,14,15,22,24,26,19,21,31,26,26,26,29,12,16,13,14,24,29,28,15,16,17,11,16,10,20
22,32,37,25,20,21,9,10,13,9,9,4,0,7,5,12,9,9,8,6,5,13,16,18,20,25,24,24,27,24,28,13,11,15,10,24,21,23,20,27,14,16,13,18,13,18,16,25,32,24,27,16,12,7,10,11,3,3,1,9,10,12,13,14,21,25,25,20,22,32,27,27,27,29,12,16,13,16,25,30,28,16,15,18,12,17,11,18
25,27,25,19,14,15,9,10,11,9,8,5,7,0,8,19,16,10,14,13,9,13,15,14,18,16,13,15,16,14,16,12,11,13,10,15,12,13,13,18,9,8,9,11,6,11,8,18,24,16,19,11,7,6,7,6,7,10,9,17,19,20,21,15,21,22,25,16,19,24,19,19,20,22,9,13,10,10,17,22,21,9,15,11,5,9,3,25
25,31,29,23,18,19,9,10,12,9,8,4,5,8,0,12,10,8,9,7,4,11,13,12,16,20,18,17,19,18,21,10,9,12,8,19,16,18,15,22,8,12,7,12,10,12,9,23,29,20,24,17,11,8,11,11,4,4,3,11,12,14,15,15,21,22,25,17,19,29,23,24,24,26,9,13,11,13,22,27,25,13,15,15,9,14,8,21
34,35,36,26,22,23,16,18,23,19,16,12,12,19,12,0,3,12,12,6,11,9,11,16,11,31,24,26,26,31,11,11,7,13,30,29,26,28,25,32,15,19,13,18,20,19,16,31,37,33,32,26,21,17,20,20,13,13,11,5,5,4,2,14,14,25,17,22,21,38,35,36,39,41,22,20,19,22,34,39,37,26,16,24,21,23,20,18
31,38,37,29,24,25,13,15,20,16,14,9,9,16,10,3,0,11,10,4,9,10,14,18,14,29,27,26,28,27,29,14,14,10,12,28,25,26,24,29,16,19,14,20,18,20,17,34,40,31,35,24,20,15,18,19,11,11,9,4,1,2,3,12,18,28,21,26,25,40,34,34,34,36,20,20,22,24,32,37,35,27,20,27,19,25,18,18
27,25,23,17,13,13,12,15,19,14,14,9,9,10,8,12,11,0,6,10,7,3,7,9,10,22,18,16,20,17,23,3,2,6,1,23,20,21,18,25,6,10,2,10,13,10,7,17,24,19,19,22,18,16,18,17,14,4,13,16,17,21,19,2,9,11,14,12,9,24,27,28,26,28,7,4,5,8,28,33,32,13,4,10,11,9,14,24
29,30,30,22,18,18,12,14,20,16,13,9,8,14,9,12,10,6,0,3,8,4,8,15,11,27,23,21,25,23,28,8,7,6,8,27,24,25,23,30,11,15,9,15,18,16,14,24,30,26,25,23,19,15,18,18,11,10,9,8,10,11,12,6,10,17,14,18,14,31,33,33,32,34,15,12,12,15,31,36,35,19,9,17,19,16,17,18
