dataset,algorithm,refill_level,subset_id,refill_ids_used,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,distinct_refill_stations_used,computation_time,feasible
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,28,1718.435,1619.02,336.99,14.18,5,49,5,7.003,True
Dataset B,Hybrid,25%,3,52;61;62;64;66;69,35,1716.562,1645.21,345.09,14.65,5,50,5,6.927,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,7,1698.071,1600.96,334.23,11.09,5,48,5,6.488,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,14,1707.067,1645.91,342.88,10.52,5,50,6,6.578,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,21,1701.57,1601.96,340.56,16.11,5,49,5,6.764,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,28,1693.705,1594.38,340.45,13.22,5,49,6,6.58,True
Dataset B,Hybrid,25%,4,55;63;66;67;74;75,35,1687.165,1656.32,341.24,7.21,5,52,6,6.629,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,7,1673.145,1581.28,331.9,10.77,5,50,6,6.634,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,14,1675.925,1576.85,334.97,10.8,5,49,6,6.724,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,21,1673.862,1620.27,339.27,10.21,5,50,6,6.685,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,28,1686.033,1595.63,338.41,9.71,5,49,6,6.813,True
Dataset B,Hybrid,25%,5,55;56;61;62;66;73,35,1689.245,1616.77,340.43,13.01,5,49,6,6.69,True
