dataset,algorithm,refill_level,subset_id,refill_ids_used,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,distinct_refill_stations_used,computation_time,feasible
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,7,3221.7,3138.95,399.0,37.93,10,72,16,5.678,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,14,3244.3,3180.24,399.0,51.94,10,71,15,5.795,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,21,3216.1,3071.45,357.0,26.52,10,71,16,5.333,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,28,3254.5,3170.28,399.0,49.65,10,72,15,5.563,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,35,3242.6,3220.92,338.42,16.46,10,72,15,5.567,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,7,3218.5,3173.65,332.5,7.83,10,71,14,5.624,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,14,3229.1,3086.5,347.52,25.92,10,70,13,5.568,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,21,3152.9,3089.99,326.25,11.94,10,73,14,5.595,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,28,3205.5,3131.07,349.0,20.9,10,73,14,5.679,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,35,3206.3,3255.55,344.75,15.41,10,73,15,5.518,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,7,3408.2,3344.24,353.08,13.52,10,73,9,4.475,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,14,3397.1,3384.08,355.0,11.24,10,73,9,4.498,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,21,3426.8,3438.37,370.75,16.7,10,72,9,4.628,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,28,3457.2,3400.99,361.0,16.7,10,71,9,4.147,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,35,3415.2,3320.4,352.0,18.64,10,73,9,4.66,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,7,3383.4,3400.57,360.6,16.85,10,72,9,4.579,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,14,3422.8,3253.64,352.5,16.69,10,72,9,4.518,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,21,3434.3,3375.45,348.49,9.82,10,72,10,4.645,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,28,3424.0,3278.62,400.0,33.58,10,71,9,4.648,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,35,3406.6,3326.26,375.0,30.58,10,71,9,4.592,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,7,3299.9,3276.5,349.29,15.22,10,73,8,4.525,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,14,3297.2,3184.24,344.0,14.1,10,71,8,4.389,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,21,3285.4,3149.28,332.38,13.55,10,71,8,4.461,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,28,3278.4,3157.0,332.93,9.98,10,72,8,4.53,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,35,3304.3,3307.54,345.1,13.47,10,72,8,4.478,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,7,3530.3,3631.74,380.5,10.24,10,74,10,4.601,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,14,3545.5,3501.71,366.5,13.55,10,71,10,4.628,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,21,3558.1,3427.77,366.0,16.82,10,71,10,4.694,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,28,3533.6,3474.19,374.5,14.79,10,72,10,4.456,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,35,3583.5,3550.72,385.78,14.08,10,73,10,4.611,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,7,3734.8,3720.05,406.0,21.12,10,73,10,4.36,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,14,3671.8,3617.02,427.0,28.18,10,74,10,4.597,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,21,3670.3,3668.45,406.0,29.76,10,73,10,4.564,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,28,3631.6,3612.12,406.0,24.58,10,72,10,4.435,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,35,3678.7,3604.49,406.0,39.67,10,73,10,4.421,True
